item_id,title
242,Kolya (1996)
302,L.A. Confidential (1997)
377,Heavyweights (1994)
51,Legends of the Fall (1994)
346,Jackie Brown (1997)
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
265,"Hunt for Red October, The (1990)"
465,"Jungle Book, The (1994)"
451,Grease (1978)
86,"Remains of the Day, The (1993)"
257,Men in Black (1997)
1014,Romy and Michele's High School Reunion (1997)
222,Star Trek: First Contact (1996)
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
29,Batman Forever (1995)
785,Only You (1994)
387,"Age of Innocence, The (1993)"
274,Sabrina (1995)
1042,Just Cause (1995)
1184,"Endless Summer 2, The (1994)"
392,"Man Without a Face, The (1993)"
486,Sabrina (1954)
144,Die Hard (1988)
118,Twister (1996)
1,Toy Story (1995)
546,Broken Arrow (1996)
95,Aladdin (1992)
768,Casper (1995)
277,Restoration (1995)
234,Jaws (1975)
246,Chasing Amy (1997)
98,"Silence of the Lambs, The (1991)"
193,"Right Stuff, The (1983)"
88,Sleepless in Seattle (1993)
194,"Sting, The (1973)"
1081,Curdled (1996)
603,Rear Window (1954)
796,Speechless (1994)
32,Crumb (1994)
16,French Twist (Gazon maudit) (1995)
304,Fly Away Home (1996)
979,"Trigger Effect, The (1996)"
564,Tales from the Hood (1995)
327,Cop Land (1997)
201,Evil Dead II (1987)
1137,Beautiful Thing (1996)
241,"Last of the Mohicans, The (1992)"
4,Get Shorty (1995)
332,Kiss the Girls (1997)
100,Fargo (1996)
432,Fantasia (1940)
322,Murder at 1600 (1997)
181,Return of the Jedi (1983)
196,Dead Poets Society (1989)
679,Conan the Barbarian (1981)
384,Naked Gun 33 1/3: The Final Insult (1994)
143,"Sound of Music, The (1965)"
423,E.T. the Extra-Terrestrial (1982)
515,"Boot, Das (1981)"
20,Angels and Insects (1995)
288,Scream (1996)
219,"Nightmare on Elm Street, A (1984)"
526,Ben-Hur (1959)
919,"City of Lost Children, The (1995)"
26,"Brothers McMullen, The (1995)"
232,Young Guns (1988)
427,To Kill a Mockingbird (1962)
512,Wings of Desire (1987)
15,Mr. Holland's Opus (1995)
1049,House Arrest (1996)
416,Old Yeller (1957)
